Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-15467,libcrypto3,3.5.0-r0,3.5.5-r0,CRITICAL,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-69419,libcrypto3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to out-of-bounds write in PKCS#12 processing,https://avd.aquasec.com/nvd/cve-2025-69419
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-69421,libcrypto3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-64720,libpng,1.6.47-r0,1.6.51-r0,HIGH,libpng: LIBPNG buffer overflow,https://avd.aquasec.com/nvd/cve-2025-64720
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-65018,libpng,1.6.47-r0,1.6.51-r0,HIGH,libpng: LIBPNG heap buffer overflow,https://avd.aquasec.com/nvd/cve-2025-65018
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-66293,libpng,1.6.47-r0,1.6.53-r0,HIGH,libpng: LIBPNG out-of-bounds read in png_image_read_composite,https://avd.aquasec.com/nvd/cve-2025-66293
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2026-22695,libpng,1.6.47-r0,1.6.54-r0,HIGH,libpng: libpng: Denial of service and information disclosure via heap buffer over-read in png_image_finish_read,https://avd.aquasec.com/nvd/cve-2026-22695
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2026-22801,libpng,1.6.47-r0,1.6.54-r0,HIGH,libpng: libpng: Information disclosure and denial of service via integer truncation in simplified write API,https://avd.aquasec.com/nvd/cve-2026-22801
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-15467,libssl3,3.5.0-r0,3.5.5-r0,CRITICAL,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-69419,libssl3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to out-of-bounds write in PKCS#12 processing,https://avd.aquasec.com/nvd/cve-2025-69419
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-69421,libssl3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-49794,libxml2,2.13.8-r0,2.13.9-r0,CRITICAL,libxml: Heap use after free (UAF) leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49794
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-49796,libxml2,2.13.8-r0,2.13.9-r0,CRITICAL,libxml: Type confusion leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49796
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-49795,libxml2,2.13.8-r0,2.13.9-r0,HIGH,libxml: Null pointer dereference leads to Denial of service (DoS),https://avd.aquasec.com/nvd/cve-2025-49795
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-6021,libxml2,2.13.8-r0,2.13.9-r0,HIGH,libxml2: Integer Overflow in xmlBuildQName() Leads to Stack Buffer Overflow in libxml2,https://avd.aquasec.com/nvd/cve-2025-6021
fairdatasystems/fdpclient:2026-02-11 (alpine 3.22.0),CVE-2025-58050,pcre2,10.43-r1,10.46-r0,CRITICAL,pcre2: PCRE2: heap-buffer-overflow read in match_ref due to missing boundary restoration in SCS,https://avd.aquasec.com/nvd/cve-2025-58050
