Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.19.0,"2.18.8, 3.1.4, 2.21.4",HIGH,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass,https://avd.aquasec.com/nvd/cve-2026-54512
Java,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.19.0,"2.18.8, 2.21.4, 3.1.4",HIGH,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution,https://avd.aquasec.com/nvd/cve-2026-54513
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
Java,CVE-2026-42583,io.netty:netty-codec,4.1.121.Final,4.1.133.Final,HIGH,netty: io.netty/netty-codec-compression: io.netty/netty-codec: Netty: Denial of Service via excessive memory allocation in LZ4FrameDecoder,https://avd.aquasec.com/nvd/cve-2026-42583
Java,CVE-2026-44249,io.netty:netty-handler,4.1.121.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: netty-handler: IPv6 subnet rule bypass due to incorrect masking operation,https://avd.aquasec.com/nvd/cve-2026-44249
Java,CVE-2026-45416,io.netty:netty-handler,4.1.121.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Denial of Service due to eager buffer allocation in TLS handshake,https://avd.aquasec.com/nvd/cve-2026-45416
Java,CVE-2026-50010,io.netty:netty-handler,4.1.121.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Improper trust manager handling leads to hostname verification bypass,https://avd.aquasec.com/nvd/cve-2026-50010
Java,CVE-2026-41293,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: Apache Tomcat: HTTP/2 request headers not validated,https://avd.aquasec.com/nvd/cve-2026-41293
Java,CVE-2026-43512,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: Apache Tomcat: Authentication bypass via digest authentication,https://avd.aquasec.com/nvd/cve-2026-43512
Java,CVE-2026-43515,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: tomcat: Improper Authorization allows security bypass,https://avd.aquasec.com/nvd/cve-2026-43515
Java,CVE-2025-48988,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"11.0.8, 10.1.42, 9.0.106",HIGH,tomcat: Apache Tomcat DoS in multipart upload,https://avd.aquasec.com/nvd/cve-2025-48988
Java,CVE-2025-48989,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"11.0.10, 10.1.44, 9.0.108",HIGH,"tomcat: http/2 ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-48989
Java,CVE-2025-52520,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"11.0.9, 10.1.43, 9.0.107",HIGH,tomcat: Apache Tomcat denial of service,https://avd.aquasec.com/nvd/cve-2025-52520
Java,CVE-2025-53506,org.apache.tomcat.embed:tomcat-embed-core,10.1.41,"9.0.107, 10.1.43, 11.0.9",HIGH,tomcat: Apache Tomcat denial of service,https://avd.aquasec.com/nvd/cve-2025-53506
