Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2023-6378,ch.qos.logback:logback-classic,1.2.11,"1.3.12, 1.4.12, 1.2.13",HIGH,logback: serialization vulnerability in logback receiver,https://avd.aquasec.com/nvd/cve-2023-6378
Java,CVE-2023-6378,ch.qos.logback:logback-core,1.2.11,"1.3.12, 1.4.12, 1.2.13",HIGH,logback: serialization vulnerability in logback receiver,https://avd.aquasec.com/nvd/cve-2023-6378
Java,CVE-2025-52999,com.fasterxml.jackson.core:jackson-core,2.13.2,2.15.0,HIGH,com.fasterxml.jackson.core/jackson-core: jackson-core Potential StackoverflowError,https://avd.aquasec.com/nvd/cve-2025-52999
Java,CVE-2022-42003,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.12.7.1, 2.13.4.2",HIGH,jackson-databind: deep wrapper array nesting wrt UNWRAP_SINGLE_VALUE_ARRAYS,https://avd.aquasec.com/nvd/cve-2022-42003
Java,CVE-2022-42004,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.12.7.1, 2.13.4",HIGH,jackson-databind: use of deeply nested arrays,https://avd.aquasec.com/nvd/cve-2022-42004
Java,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.18.8, 3.1.4, 2.21.4",HIGH,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass,https://avd.aquasec.com/nvd/cve-2026-54512
Java,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.18.8, 2.21.4, 3.1.4",HIGH,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution,https://avd.aquasec.com/nvd/cve-2026-54513
Java,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 3.1.4, 2.21.4",HIGH,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass,https://avd.aquasec.com/nvd/cve-2026-54512
Java,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 3.1.4, 2.21.4",HIGH,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass,https://avd.aquasec.com/nvd/cve-2026-54512
Java,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 2.21.4, 3.1.4",HIGH,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution,https://avd.aquasec.com/nvd/cve-2026-54513
Java,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 2.21.4, 3.1.4",HIGH,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution,https://avd.aquasec.com/nvd/cve-2026-54513
Java,CVE-2026-55760,com.github.jknack:handlebars,4.3.1,4.5.2,HIGH,handlebars.java FileTemplateLoader Path Traversal,https://avd.aquasec.com/nvd/cve-2026-55760
Java,CVE-2024-7254,com.google.protobuf:protobuf-java,4.26.1,"3.25.5, 4.27.5, 4.28.2",HIGH,protobuf: StackOverflow vulnerability in Protocol Buffers,https://avd.aquasec.com/nvd/cve-2024-7254
