Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-31789,libcrypto3,3.5.4-r0,3.5.6-r0,CRITICAL,openssl: OpenSSL: Heap buffer overflow on 32-bit systems from large X.509 certificate processing,https://avd.aquasec.com/nvd/cve-2026-31789
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2025-15467,libcrypto3,3.5.4-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2025-69421,libcrypto3,3.5.4-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-14456,libcrypto3,3.5.4-r0,3.5.8-r0,HIGH,openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,https://avd.aquasec.com/nvd/cve-2026-14456
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28387,libcrypto3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to use-after-free in DANE TLSA authentication,https://avd.aquasec.com/nvd/cve-2026-28387
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28388,libcrypto3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in delta CRL processing,https://avd.aquasec.com/nvd/cve-2026-28388
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28389,libcrypto3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service vulnerability in CMS processing,https://avd.aquasec.com/nvd/cve-2026-28389
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28390,libcrypto3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in CMS EnvelopedData processing,https://avd.aquasec.com/nvd/cve-2026-28390
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-45447,libcrypto3,3.5.4-r0,3.5.7-r0,HIGH,openssl: Heap Use-After-Free in OpenSSL PKCS7_verify(),https://avd.aquasec.com/nvd/cve-2026-45447
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-31789,libssl3,3.5.4-r0,3.5.6-r0,CRITICAL,openssl: OpenSSL: Heap buffer overflow on 32-bit systems from large X.509 certificate processing,https://avd.aquasec.com/nvd/cve-2026-31789
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2025-15467,libssl3,3.5.4-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2025-69421,libssl3,3.5.4-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-14456,libssl3,3.5.4-r0,3.5.8-r0,HIGH,openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,https://avd.aquasec.com/nvd/cve-2026-14456
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28387,libssl3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to use-after-free in DANE TLSA authentication,https://avd.aquasec.com/nvd/cve-2026-28387
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28388,libssl3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in delta CRL processing,https://avd.aquasec.com/nvd/cve-2026-28388
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28389,libssl3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service vulnerability in CMS processing,https://avd.aquasec.com/nvd/cve-2026-28389
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-28390,libssl3,3.5.4-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in CMS EnvelopedData processing,https://avd.aquasec.com/nvd/cve-2026-28390
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-45447,libssl3,3.5.4-r0,3.5.7-r0,HIGH,openssl: Heap Use-After-Free in OpenSSL PKCS7_verify(),https://avd.aquasec.com/nvd/cve-2026-45447
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-53612,libuuid,2.41-r9,2.41.6-r0,HIGH,util-linux: util-linux: TOCTOU in the mount program when applying post-mount ownership/mode changes,https://avd.aquasec.com/nvd/cve-2026-53612
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-53613,libuuid,2.41-r9,2.41.6-r0,HIGH,util-linux: util-linux: TOCTOU in the mount program via ancestor directory swap on target path,https://avd.aquasec.com/nvd/cve-2026-53613
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-53614,libuuid,2.41-r9,2.41.6-r0,HIGH,util-linux: util-linux: SUID mount(8) allows nosuid/noexec bypass via LIBMOUNT_FORCE_MOUNT2,https://avd.aquasec.com/nvd/cve-2026-53614
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-76642,libuuid,2.41-r9,2.41.6-r0,HIGH,util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,https://avd.aquasec.com/nvd/cve-2026-76642
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-78408,libuuid,2.41-r9,2.41.6-r1,HIGH,util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,https://avd.aquasec.com/nvd/cve-2026-78408
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-78410,libuuid,2.41-r9,2.41.6-r0,HIGH,"util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",https://avd.aquasec.com/nvd/cve-2026-78410
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-40200,musl,1.2.5-r10,1.2.5-r12,HIGH,musl: musl libc: Arbitrary code execution and denial of service via stack-based memory corruption in qsort,https://avd.aquasec.com/nvd/cve-2026-40200
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-40200,musl-utils,1.2.5-r10,1.2.5-r12,HIGH,musl: musl libc: Arbitrary code execution and denial of service via stack-based memory corruption in qsort,https://avd.aquasec.com/nvd/cve-2026-40200
fairdatasystems/care2:2026-09-10 (alpine 3.22.2),CVE-2026-22184,zlib,1.3.1-r2,1.3.2-r0,HIGH,zlib: zlib: Arbitrary code execution via buffer overflow in untgz utility,https://avd.aquasec.com/nvd/cve-2026-22184
