Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-5244,binutils,2.44-r2,2.44-r3,HIGH,binutils: GNU Binutils ld elflink.c elf_gc_sweep memory corruption,https://avd.aquasec.com/nvd/cve-2025-5244
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-5245,binutils,2.44-r2,2.44-r3,HIGH,binutils: GNU Binutils objdump debug.c debug_type_samep memory corruption,https://avd.aquasec.com/nvd/cve-2025-5245
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg-dirmngr,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg-gpgconf,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg-keyboxd,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg-utils,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gnupg-wks-client,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gpg,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gpg-agent,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gpg-wks-server,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
fairdatasystems/fdp:2026-02-11 (alpine 3.22.1),CVE-2025-68973,gpgsm,2.4.7-r0,2.4.9-r0,HIGH,GnuPG: GnuPG: Information disclosure and potential arbitrary code execution via out-of-bounds write,https://avd.aquasec.com/nvd/cve-2025-68973
