Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-33630,c-ares,1.34.5-r0,1.34.8-r0,HIGH,c-ares: c-ares: Use-after-free / double-free in query-completion handling,https://avd.aquasec.com/nvd/cve-2026-33630
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-31789,libcrypto3,3.5.0-r0,3.5.6-r0,CRITICAL,openssl: OpenSSL: Heap buffer overflow on 32-bit systems from large X.509 certificate processing,https://avd.aquasec.com/nvd/cve-2026-31789
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-15467,libcrypto3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-69421,libcrypto3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28387,libcrypto3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Arbitrary code execution due to use-after-free in DANE TLSA authentication,https://avd.aquasec.com/nvd/cve-2026-28387
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28388,libcrypto3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in delta CRL processing,https://avd.aquasec.com/nvd/cve-2026-28388
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28389,libcrypto3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service vulnerability in CMS processing,https://avd.aquasec.com/nvd/cve-2026-28389
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-28390,libcrypto3,3.5.0-r0,3.5.6-r0,HIGH,openssl: OpenSSL: Denial of Service due to NULL pointer dereference in CMS EnvelopedData processing,https://avd.aquasec.com/nvd/cve-2026-28390
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-45447,libcrypto3,3.5.0-r0,3.5.7-r0,HIGH,openssl: Heap Use-After-Free in OpenSSL PKCS7_verify(),https://avd.aquasec.com/nvd/cve-2026-45447
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-59375,libexpat,2.7.1-r0,2.7.2-r0,HIGH,firefox: thunderbird: expat: libexpat in Expat allows attackers to trigger large dynamic memory allocations via a small document that is submitted for parsing,https://avd.aquasec.com/nvd/cve-2025-59375
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-25210,libexpat,2.7.1-r0,2.7.4-r0,HIGH,libexpat: libexpat: Information disclosure and data integrity issues due to integer overflow in buffer reallocation,https://avd.aquasec.com/nvd/cve-2026-25210
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-45186,libexpat,2.7.1-r0,2.8.1-r0,HIGH,libexpat: denial of service via crafted XML input,https://avd.aquasec.com/nvd/cve-2026-45186
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-56131,libexpat,2.7.1-r0,2.8.2-r0,HIGH,libexpat before 2.8.2 lacks handler call depth tracking for calls to X ...,https://avd.aquasec.com/nvd/cve-2026-56131
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-56407,libexpat,2.7.1-r0,2.8.2-r0,HIGH,libexpat before 2.8.2 has an integer overflow in doProlog that is rela ...,https://avd.aquasec.com/nvd/cve-2026-56407
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-56408,libexpat,2.7.1-r0,2.8.2-r0,HIGH,libexpat before 2.8.2 has an integer overflow in copyString.,https://avd.aquasec.com/nvd/cve-2026-56408
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-64720,libpng,1.6.47-r0,1.6.51-r0,HIGH,libpng: LIBPNG buffer overflow,https://avd.aquasec.com/nvd/cve-2025-64720
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-65018,libpng,1.6.47-r0,1.6.51-r0,HIGH,libpng: LIBPNG heap buffer overflow,https://avd.aquasec.com/nvd/cve-2025-65018
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-66293,libpng,1.6.47-r0,1.6.53-r0,HIGH,libpng: LIBPNG out-of-bounds read in png_image_read_composite,https://avd.aquasec.com/nvd/cve-2025-66293
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-22695,libpng,1.6.47-r0,1.6.54-r0,HIGH,libpng: libpng: Denial of service and information disclosure via heap buffer over-read in png_image_finish_read,https://avd.aquasec.com/nvd/cve-2026-22695
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-22801,libpng,1.6.47-r0,1.6.54-r0,HIGH,libpng: libpng: Information disclosure and denial of service via integer truncation in simplified write API,https://avd.aquasec.com/nvd/cve-2026-22801
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-25646,libpng,1.6.47-r0,1.6.55-r0,HIGH,libpng: LIBPNG has a heap buffer overflow in png_set_quantize,https://avd.aquasec.com/nvd/cve-2026-25646
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2026-31789,libssl3,3.5.0-r0,3.5.6-r0,CRITICAL,openssl: OpenSSL: Heap buffer overflow on 32-bit systems from large X.509 certificate processing,https://avd.aquasec.com/nvd/cve-2026-31789
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-15467,libssl3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Remote code execution or Denial of Service via oversized Initialization Vector in CMS parsing,https://avd.aquasec.com/nvd/cve-2025-15467
fairdatasystems/fdpclient:2026-07-10 (alpine 3.22.0),CVE-2025-69421,libssl3,3.5.0-r0,3.5.5-r0,HIGH,openssl: OpenSSL: Denial of Service via malformed PKCS#12 file processing,https://avd.aquasec.com/nvd/cve-2025-69421
