Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
Java,CVE-2026-59901,io.netty:netty-codec-compression,4.2.15.Final,4.2.16.Final,HIGH,io.netty/netty-codec-compression: Netty: Infinite loop in netty-codec-compression (bzip2),https://avd.aquasec.com/nvd/cve-2026-59901
Java,CVE-2026-75595,io.netty:netty-handler,4.2.15.Final,"4.2.17.Final, 4.1.137.Final",CRITICAL,"Netty is an asynchronous, event-driven network application framework.  ...",https://avd.aquasec.com/nvd/cve-2026-75595
Java,CVE-2026-54399,org.apache.httpcomponents.core5:httpcore5,5.4.2,"5.4.3, 5.5-beta2",HIGH,org.apache.httpcomponents.core5/httpcore5: Apache HttpComponents Core: Denial of Service via excessive HTTP headers,https://avd.aquasec.com/nvd/cve-2026-54399
Java,CVE-2026-54428,org.apache.httpcomponents.core5:httpcore5-h2,5.4.2,"5.4.3, 5.5-beta2",HIGH,org.apache.httpcomponents.core5/httpcore5-h2: Apache HttpComponents Core: Denial of Service via oversized HTTP/2 HPACK header blocks,https://avd.aquasec.com/nvd/cve-2026-54428
Java,CVE-2026-65182,org.apache.tomcat.embed:tomcat-embed-core,11.0.22,"11.0.25, 10.1.58, 9.0.121",CRITICAL,Apache Tomcat: Apache Tomcat: Security constraint bypass due to improper access control,https://avd.aquasec.com/nvd/cve-2026-65182
Java,CVE-2026-65905,org.apache.tomcat.embed:tomcat-embed-core,11.0.22,"11.0.25, 10.1.58, 9.0.121",CRITICAL,tomcat: Apache Tomcat: Authentication bypass via limited replay attack in DIGEST authenticator,https://avd.aquasec.com/nvd/cve-2026-65905
Java,CVE-2026-68525,org.apache.tomcat.embed:tomcat-embed-core,11.0.22,"11.0.25, 10.1.58, 9.0.121",CRITICAL,org.apache.tomcat/tomcat: Apache Tomcat: Unauthorized resource access via FORM authentication bypass,https://avd.aquasec.com/nvd/cve-2026-68525
Java,CVE-2025-67030,org.codehaus.plexus:plexus-utils,3.2.0,"4.0.3, 3.6.1",HIGH,org.codehaus.plexus:plexus-utils: Plexus-utils: Directory Traversal in extractFile method,https://avd.aquasec.com/nvd/cve-2025-67030
Java,CVE-2024-22201,org.eclipse.jetty.http2:http2-common,9.4.41.v20210516,"9.4.54, 10.0.20, 11.0.20",HIGH,jetty: stop accepting new connections from valid clients,https://avd.aquasec.com/nvd/cve-2024-22201
Java,CVE-2025-5115,org.eclipse.jetty.http2:http2-common,9.4.41.v20210516,"9.4.58, 10.0.26, 11.0.26",HIGH,"jetty: HTTP/2 (including DNS over HTTPS) contains a design flaw and is vulnerable to ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-5115
Java,CVE-2023-36478,org.eclipse.jetty.http2:http2-hpack,9.4.41.v20210516,"10.0.16, 11.0.16, 9.4.53",HIGH,jetty: hpack header values cause denial of service in http/2,https://avd.aquasec.com/nvd/cve-2023-36478
Java,CVE-2025-12183,org.lz4:lz4-java,1.8.0,1.8.1,HIGH,lz4-java: lz4-java: Out-of-bounds memory operations lead to denial of service and information disclosure,https://avd.aquasec.com/nvd/cve-2025-12183
Java,CVE-2025-66566,org.lz4:lz4-java,1.8.0,N/A,HIGH,lz4-java: lz4-java: Information Disclosure via Insufficient Output Buffer Clearing,https://avd.aquasec.com/nvd/cve-2025-66566
